	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	education	education	education	education	mmr	mmr	mmr	mmr	mmr_25	mmr_25	mmr_25	mmr_25
												
yr5660capexp53	1.534*				-0.0118				0.00356			
	(0.818)				(0.0107)				(0.00616)			
capexp53	-0.242				0.00135				-0.00886			
	(0.872)				(0.0119)				(0.00992)			
yr5660nonwest		1.449				-0.00631				0.00177		
		(1.177)				(0.0117)				(0.00589)		
nonwest_main_exposure_fake			-0.348				-0.00315				-0.00196	
			(0.336)				(0.00389)				(0.00227)	
capexp53_main_exposure_fake				0.213				-0.00257				-0.00156
				(0.168)				(0.00204)				(0.00148)
Constant	3.377	2.269*	2.644*	4.093***	-0.0628	0.0302	0.298	0.249	0.0451	0.00117	-0.0431	-0.0715
	(2.336)	(1.159)	(1.453)	(1.486)	(0.166)	(0.146)	(0.241)	(0.242)	(0.0864)	(0.0531)	(0.128)	(0.136)
												
Observations	2,617	2,617	2,617	2,617	6,508	6,508	6,508	6,508	6,508	6,508	6,508	6,508
R-squared	0.299	0.297	0.300	0.301	0.014	0.014	0.015	0.015	0.011	0.011	0.011	0.011
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
