	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	education	education	education	mmr	mmr	mmr
						
dumage_alt	-0.668*	-0.372	-0.824	0.00439	-0.00142	-0.000423
	(0.344)	(0.319)	(0.833)	(0.00307)	(0.00605)	(0.00684)
dumageXage1980less20_alt	-0.372***	0.0627	-0.171	0.000489	-0.000297	-0.00266
	(0.0345)	(0.109)	(0.215)	(0.000268)	(0.00133)	(0.00338)
invdumageXage1980less20_alt	-0.0727	-0.256*	-0.624	0.000598	-0.00253	-0.000121
	(0.0622)	(0.118)	(0.698)	(0.000542)	(0.00253)	(0.00678)
Constant	6.939***	7.217***	7.544***	0.00357	0.00840	0.00621
	(0.390)	(0.462)	(0.960)	(0.00511)	(0.00749)	(0.00792)
						
Observations	6,773	6,773	6,773	20,836	20,836	20,836
R-squared	0.184	0.188	0.188	0.001	0.001	0.001
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
